Name,Gender,Year,Count
Elizabeth,F,1897,3442
Mary,F,1898,14406
John,M,1898,8159
William,M,1898,7400
Anna,F,1898,5773
James,M,1898,5321
Helen,F,1898,5230
George,M,1898,4853
Margaret,F,1898,4696
Ruth,F,1898,4249
Florence,F,1898,3790
Mary,F,1899,13172
John,M,1899,6990
William,M,1899,6086
Anna,F,1899,5115
Helen,F,1899,5048
James,M,1899,4597
Margaret,F,1899,4249
George,M,1899,4018
Ruth,F,1899,3912
Florence,F,1899,3314
Mary,F,1900,16705
John,M,1900,9829
William,M,1900,8579
James,M,1900,7245
Helen,F,1900,6342
Anna,F,1900,6114
George,M,1900,5403
Margaret,F,1900,5304
Ruth,F,1900,4765
Charles,M,1900,4098
Mary,F,1901,13136
John,M,1901,6900
William,M,1901,5990
Helen,F,1901,5247
Anna,F,1901,4923
James,M,1901,4735
Margaret,F,1901,4424
Ruth,F,1901,3974
George,M,1901,3609
Elizabeth,F,1901,3216
Mary,F,1902,14486
John,M,1902,7907
William,M,1902,6616
Helen,F,1902,5967
James,M,1902,5592
Anna,F,1902,5288
Margaret,F,1902,5011
Ruth,F,1902,4384
George,M,1902,4223
Elizabeth,F,1902,3694
Mary,F,1903,14275
John,M,1903,7608
William,M,1903,6311
Helen,F,1903,6129
James,M,1903,5479
Anna,F,1903,5098
Margaret,F,1903,5046
Ruth,F,1903,4517
George,M,1903,3961
Elizabeth,F,1903,3724
Mary,F,1904,14961
John,M,1904,8108
Helen,F,1904,6488
William,M,1904,6416
James,M,1904,5855
Anna,F,1904,5330
Margaret,F,1904,5302
Ruth,F,1904,4900
George,M,1904,4219
Elizabeth,F,1904,3833
Mary,F,1905,16067
John,M,1905,8059
Helen,F,1905,6811
William,M,1905,6495
James,M,1905,6042
Margaret,F,1905,5690
Anna,F,1905,5424
Ruth,F,1905,5068
George,M,1905,4256
Elizabeth,F,1905,4121
Mary,F,1906,16370
John,M,1906,8264
Helen,F,1906,7176
William,M,1906,6566
Margaret,F,1906,6096
James,M,1906,5908
Anna,F,1906,5502
Ruth,F,1906,5140
Dorothy,F,1906,4326
Elizabeth,F,1906,4320
Mary,F,1907,17580
John,M,1907,8983
Helen,F,1907,7579
William,M,1907,6904
Margaret,F,1907,6713
James,M,1907,6707
Anna,F,1907,5575
Ruth,F,1907,5573
Dorothy,F,1907,4967
Elizabeth,F,1907,4624
Mary,F,1908,18665
John,M,1908,9343
Helen,F,1908,8439
William,M,1908,7529
James,M,1908,7012
Margaret,F,1908,6976
Ruth,F,1908,6180
Anna,F,1908,5860
Dorothy,F,1908,5703
Elizabeth,F,1908,4904
Mary,F,1909,19259
John,M,1909,9590
Helen,F,1909,9250
William,M,1909,7913
James,M,1909,7595
Margaret,F,1909,7358
Ruth,F,1909,6509
Dorothy,F,1909,6253
Anna,F,1909,5804
Elizabeth,F,1909,5176
Mary,F,1910,22848
John,M,1910,11450
Helen,F,1910,10479
James,M,1910,9194
William,M,1910,8844
Margaret,F,1910,8226
Dorothy,F,1910,7318
Ruth,F,1910,7212
Anna,F,1910,6436
Elizabeth,F,1910,5800
Mary,F,1911,24390
John,M,1911,13446
Helen,F,1911,11801
William,M,1911,10593
James,M,1911,9952
Margaret,F,1911,9279
Dorothy,F,1911,8869
Ruth,F,1911,8003
Anna,F,1911,6753
George,M,1911,6586
Mary,F,1912,32304
John,M,1912,24587
William,M,1912,19626
James,M,1912,17644
Helen,F,1912,16133
Robert,M,1912,12836
Dorothy,F,1912,12645
Margaret,F,1912,12536
Joseph,M,1912,12062
George,M,1912,11734
Mary,F,1913,36642
John,M,1913,29329
William,M,1913,23538
James,M,1913,20832
Helen,F,1913,18888
Robert,M,1913,15684
Dorothy,F,1913,14674
Margaret,F,1913,14486
Joseph,M,1913,14471
George,M,1913,13874
Mary,F,1914,45346
John,M,1914,37947
William,M,1914,29753
James,M,1914,26263
Helen,F,1914,23221
Robert,M,1914,21188
Joseph,M,1914,18829
Dorothy,F,1914,18782
Margaret,F,1914,17763
George,M,1914,17602
Mary,F,1915,58187
John,M,1915,47576
William,M,1915,38563
James,M,1915,33773
Helen,F,1915,30866
Robert,M,1915,28737
Dorothy,F,1915,25154
Margaret,F,1915,23054
Joseph,M,1915,23051
George,M,1915,22307
Mary,F,1916,61438
John,M,1916,50043
William,M,1916,40418
James,M,1916,35568
Helen,F,1916,32661
Robert,M,1916,31741
Dorothy,F,1916,27418
Margaret,F,1916,24953
Joseph,M,1916,23883
Charles,M,1916,23612
Mary,F,1917,64280
John,M,1917,51852
William,M,1917,42422
James,M,1917,37338
Robert,M,1917,35220
Helen,F,1917,34251
Dorothy,F,1917,28852
Margaret,F,1917,25560
Joseph,M,1917,24762
George,M,1917,24196
Mary,F,1918,67365
John,M,1918,56558
William,M,1918,45291
James,M,1918,42116
Robert,M,1918,40619
Helen,F,1918,36148
Dorothy,F,1918,32030
Margaret,F,1918,27139
Charles,M,1918,26921
George,M,1918,26318
Mary,F,1919,65837
John,M,1919,53524
William,M,1919,43970
James,M,1919,42391
Robert,M,1919,41025
Helen,F,1919,33706
Dorothy,F,1919,31734
Margaret,F,1919,26238
Charles,M,1919,25192
George,M,1919,25170
Mary,F,1920,70983
John,M,1920,56913
William,M,1920,50146
Robert,M,1920,48679
James,M,1920,47908
Dorothy,F,1920,36643
Helen,F,1920,35097
Charles,M,1920,28309
Margaret,F,1920,27994
George,M,1920,26891
Mary,F,1921,73984
John,M,1921,58215
Robert,M,1921,52780
William,M,1921,51863
James,M,1921,49750
Dorothy,F,1921,39087
Helen,F,1921,34822
Charles,M,1921,29242
Margaret,F,1921,28468
George,M,1921,27477
Mary,F,1922,72176
John,M,1922,57281
Robert,M,1922,53795
William,M,1922,51112
James,M,1922,49803
Dorothy,F,1922,37715
Helen,F,1922,32510
Charles,M,1922,28840
George,M,1922,27349
Margaret,F,1922,26862
Mary,F,1923,71635
John,M,1923,57468
Robert,M,1923,56113
William,M,1923,52136
James,M,1923,50463
Dorothy,F,1923,39043
Helen,F,1923,31486
Charles,M,1923,28966
George,M,1923,27024
Margaret,F,1923,26135
Mary,F,1924,73534
Robert,M,1924,60800
John,M,1924,59051
William,M,1924,53507
James,M,1924,52942
Dorothy,F,1924,39996
Helen,F,1924,31194
Betty,F,1924,30600
Charles,M,1924,30461
George,M,1924,27375
Mary,F,1925,70587
Robert,M,1925,60896
John,M,1925,57199
William,M,1925,53308
James,M,1925,52682
Dorothy,F,1925,38570
Betty,F,1925,32812
Charles,M,1925,29579
Helen,F,1925,29171
George,M,1925,26562
Mary,F,1926,67833
Robert,M,1926,61130
John,M,1926,56104
James,M,1926,53194
William,M,1926,51920
Dorothy,F,1926,36616
Betty,F,1926,32964
Charles,M,1926,29522
Helen,F,1926,26886
George,M,1926,25908
Mary,F,1927,70641
Robert,M,1927,61673
John,M,1927,55953
James,M,1927,53676
William,M,1927,51480
Dorothy,F,1927,35994
Betty,F,1927,35425
Charles,M,1927,31940
Richard,M,1927,26767
George,M,1927,25948
Mary,F,1928,66870
Robert,M,1928,60700
John,M,1928,53755
James,M,1928,52753
William,M,1928,49116
Betty,F,1928,36082
Dorothy,F,1928,33734
Charles,M,1928,31244
Richard,M,1928,28793
Donald,M,1928,25704
Mary,F,1929,63512
Robert,M,1929,59807
James,M,1929,52130
John,M,1929,52115
William,M,1929,47815
Betty,F,1929,36674
Dorothy,F,1929,31476
Charles,M,1929,29928
Richard,M,1929,29576
Donald,M,1929,27184
Mary,F,1930,64152
Robert,M,1930,62150
James,M,1930,53958
John,M,1930,52443
William,M,1930,47270
Betty,F,1930,38237
Richard,M,1930,32180
Charles,M,1930,31869
Dorothy,F,1930,30410
Donald,M,1930,29051
Robert,M,1931,60521
Mary,F,1931,60297
James,M,1931,51217
John,M,1931,48423
William,M,1931,43277
Betty,F,1931,36107
Richard,M,1931,31822
Charles,M,1931,29931
Donald,M,1931,29104
Dorothy,F,1931,26526
Mary,F,1932,59879
Robert,M,1932,59262
James,M,1932,51923
John,M,1932,48623
William,M,1932,42127
Betty,F,1932,34419
Richard,M,1932,31806
Charles,M,1932,31091
Donald,M,1932,29787
Barbara,F,1932,26318
Mary,F,1933,55518
Robert,M,1933,54223
James,M,1933,51109
John,M,1933,46224
William,M,1933,39046
Betty,F,1933,31528
Richard,M,1933,31333
Charles,M,1933,28989
Donald,M,1933,28446
Barbara,F,1933,26949
Mary,F,1934,56933
Robert,M,1934,55836
James,M,1934,54267
John,M,1934,46740
William,M,1934,40177
Richard,M,1934,33165
Betty,F,1934,31088
Donald,M,1934,30407
Charles,M,1934,29792
Barbara,F,1934,29236
Robert,M,1935,56525
Mary,F,1935,55073
James,M,1935,54998
John,M,1935,47506
Shirley,F,1935,42359
William,M,1935,40198
Richard,M,1935,33947
Barbara,F,1935,30699
Charles,M,1935,29981
Donald,M,1935,29673
Robert,M,1936,58501
James,M,1936,54698
Mary,F,1936,54374
John,M,1936,47675
William,M,1936,39395
Shirley,F,1936,35160
Richard,M,1936,33490
Barbara,F,1936,31680
Charles,M,1936,29094
Donald,M,1936,28638
Robert,M,1937,61841
James,M,1937,56558
Mary,F,1937,55643
John,M,1937,48751
William,M,1937,40722
Barbara,F,1937,34916
Richard,M,1937,32974
Charles,M,1937,30523
Donald,M,1937,27867
Patricia,F,1937,26838
Robert,M,1938,62271
James,M,1938,59101
Mary,F,1938,56216
John,M,1938,50525
William,M,1938,42428
Barbara,F,1938,39276
Richard,M,1938,34385
Charles,M,1938,31151
Patricia,F,1938,27557
Donald,M,1938,26675
Robert,M,1939,59657
James,M,1939,59633
Mary,F,1939,54902
John,M,1939,51022
William,M,1939,42080
Barbara,F,1939,37258
Richard,M,1939,35379
Charles,M,1939,30784
Patricia,F,1939,29706
David,M,1939,25361
James,M,1940,62483
Robert,M,1940,61194
Mary,F,1940,56213
John,M,1940,54784
William,M,1940,44773
Richard,M,1940,37427
Barbara,F,1940,36735
Patricia,F,1940,32665
Charles,M,1940,31685
David,M,1940,27689
James,M,1941,66746
Robert,M,1941,64243
Mary,F,1941,58045
John,M,1941,57517
William,M,1941,47793
Barbara,F,1941,39542
Richard,M,1941,39109
Patricia,F,1941,36903
Charles,M,1941,32741
David,M,1941,30550
James,M,1942,77175
Robert,M,1942,71843
John,M,1942,66037
Mary,F,1942,63254
William,M,1942,54889
Barbara,F,1942,44736
Richard,M,1942,43588
Patricia,F,1942,39461
David,M,1942,35902
Charles,M,1942,35851
James,M,1943,80277
Robert,M,1943,74883
John,M,1943,68927
Mary,F,1943,66179
William,M,1943,55902
Richard,M,1943,46335
Barbara,F,1943,43433
Patricia,F,1943,39622
Linda,F,1943,38442
David,M,1943,37239
James,M,1944,76955
Robert,M,1944,70851
John,M,1944,66613
Mary,F,1944,62470
William,M,1944,52372
Richard,M,1944,45641
Barbara,F,1944,39195
Linda,F,1944,38413
David,M,1944,37382
Patricia,F,1944,36875
James,M,1945,74460
Robert,M,1945,69939
John,M,1945,66117
Mary,F,1945,59280
William,M,1945,50221
Richard,M,1945,46046
Linda,F,1945,41462
Barbara,F,1945,38274
David,M,1945,37106
Patricia,F,1945,35841
James,M,1946,87441
Robert,M,1946,84139
John,M,1946,79260
Mary,F,1946,67470
William,M,1946,60033
Richard,M,1946,58868
Linda,F,1946,52710
David,M,1946,46442
Patricia,F,1946,46299
Barbara,F,1946,45123
Linda,F,1947,99693
James,M,1947,94758
Robert,M,1947,91650
John,M,1947,88319
Mary,F,1947,71685
William,M,1947,66993
Richard,M,1947,58529
David,M,1947,57806
Patricia,F,1947,51278
Michael,M,1947,50500
Linda,F,1948,96215
James,M,1948,88600
Robert,M,1948,85475
John,M,1948,82833
Mary,F,1948,68600
William,M,1948,61973
David,M,1948,56622
Michael,M,1948,52564
Richard,M,1948,50971
Barbara,F,1948,46826
Linda,F,1949,91017
James,M,1949,86858
Robert,M,1949,83874
John,M,1949,81171
Mary,F,1949,66870
William,M,1949,61497
Michael,M,1949,60050
David,M,1949,59611
Richard,M,1949,50944
Patricia,F,1949,46328
James,M,1950,86227
Robert,M,1950,83554
Linda,F,1950,80431
John,M,1950,79417
Mary,F,1950,65481
Michael,M,1950,65139
David,M,1950,60727
William,M,1950,60684
Richard,M,1950,51002
Patricia,F,1950,47944
James,M,1951,87251
Robert,M,1951,86352
John,M,1951,81569
Linda,F,1951,73981
Michael,M,1951,72804
Mary,F,1951,65723
David,M,1951,64789
William,M,1951,62784
Patricia,F,1951,56446
Richard,M,1951,54546
James,M,1952,87065
Robert,M,1952,86589
John,M,1952,83134
Michael,M,1952,79041
David,M,1952,71753
Linda,F,1952,67080
Mary,F,1952,65627
William,M,1952,63037
Richard,M,1952,58348
Patricia,F,1952,53090
Robert,M,1953,86248
James,M,1953,86080
Michael,M,1953,84203
John,M,1953,80170
David,M,1953,76119
Mary,F,1953,64388
William,M,1953,61835
Linda,F,1953,61281
Richard,M,1953,58388
Deborah,F,1953,52196
Michael,M,1954,88565
Robert,M,1954,86337
James,M,1954,86311
John,M,1954,81178
David,M,1954,79561
Mary,F,1954,68022
William,M,1954,61431
Richard,M,1954,57050
Linda,F,1954,55373
Deborah,F,1954,54682
Michael,M,1955,88356
David,M,1955,86304
James,M,1955,84178
Robert,M,1955,83751
John,M,1955,80121
Mary,F,1955,63173
William,M,1955,59983
Richard,M,1955,53563
Deborah,F,1955,52316
Linda,F,1955,51300
Michael,M,1956,90696
James,M,1956,84899
Robert,M,1956,83912
David,M,1956,81645
John,M,1956,80802
Mary,F,1956,61743
William,M,1956,58991
Richard,M,1956,52907
Mark,M,1956,48833
Debra,F,1956,48319
Michael,M,1957,92785
James,M,1957,84341
David,M,1957,82404
Robert,M,1957,81781
John,M,1957,79051
Mary,F,1957,61106
William,M,1957,56854
Mark,M,1957,52844
Richard,M,1957,52459
Susan,F,1957,45955
Michael,M,1958,90567
David,M,1958,82628
James,M,1958,78738
Robert,M,1958,77287
John,M,1958,76027
Mary,F,1958,55846
William,M,1958,54224
Mark,M,1958,52671
Richard,M,1958,49960
Susan,F,1958,45169
Michael,M,1959,85234
David,M,1959,83940
James,M,1959,78621
John,M,1959,76397
Robert,M,1959,74526
Mark,M,1959,56915
Mary,F,1959,54492
William,M,1959,51371
Richard,M,1959,47185
Susan,F,1959,41609
David,M,1960,85930
Michael,M,1960,84169
James,M,1960,76826
John,M,1960,76096
Robert,M,1960,72357
Mark,M,1960,58733
Mary,F,1960,51481
William,M,1960,49353
Richard,M,1960,43547
Thomas,M,1960,39276
Michael,M,1961,86927
David,M,1961,84765
John,M,1961,79927
James,M,1961,75937
Robert,M,1961,72915
Mark,M,1961,57770
William,M,1961,48009
Mary,F,1961,47677
Lisa,F,1961,42711
Richard,M,1961,41125
Michael,M,1962,85032
David,M,1962,81326
John,M,1962,78423
James,M,1962,72545
Robert,M,1962,70191
Mark,M,1962,53514
Lisa,F,1962,46073
William,M,1962,44852
Mary,F,1962,43495
Richard,M,1962,39410
Michael,M,1963,83774
John,M,1963,78622
David,M,1963,78452
James,M,1963,71303
Robert,M,1963,70017
Lisa,F,1963,56035
Mark,M,1963,49341
William,M,1963,44454
Mary,F,1963,41550
Richard,M,1963,40774
Michael,M,1964,82628
John,M,1964,82523
David,M,1964,75050
James,M,1964,73034
Robert,M,1964,69991
Lisa,F,1964,54270
Mark,M,1964,45268
William,M,1964,44225
Mary,F,1964,40982
Richard,M,1964,40101
Michael,M,1965,81011
John,M,1965,71519
David,M,1965,67835
James,M,1965,67686
Robert,M,1965,63114
Lisa,F,1965,60267
William,M,1965,40114
Mark,M,1965,38256
Richard,M,1965,36833
Mary,F,1965,34271
Michael,M,1966,79983
David,M,1966,66422
James,M,1966,65167
John,M,1966,65020
Robert,M,1966,59314
Lisa,F,1966,56918
William,M,1966,38240
Mark,M,1966,34804
Richard,M,1966,34460
Kimberly,F,1966,32230
Michael,M,1967,82424
David,M,1967,66811
James,M,1967,61686
John,M,1967,61604
Robert,M,1967,56376
Lisa,F,1967,52436
William,M,1967,37621
Mark,M,1967,34912
Richard,M,1967,33583
Kimberly,F,1967,33098
Michael,M,1968,81980
David,M,1968,63694
John,M,1968,60919
James,M,1968,60675
Robert,M,1968,58187
Lisa,F,1968,49537
William,M,1968,36935
Mark,M,1968,35405
Michelle,F,1968,33222
Richard,M,1968,32976
Michael,M,1969,85174
David,M,1969,63679
James,M,1969,59906
John,M,1969,58754
Robert,M,1969,58314
Lisa,F,1969,45025
William,M,1969,37618
Christopher,M,1969,35690
Michelle,F,1969,34318
Jennifer,F,1969,33702
Michael,M,1970,85274
James,M,1970,61747
David,M,1970,61740
John,M,1970,58510
Robert,M,1970,57186
Jennifer,F,1970,46153
Christopher,M,1970,41760
Lisa,F,1970,38964
William,M,1970,38894
Kimberly,F,1970,34136
Michael,M,1971,77593
Jennifer,F,1971,56775
James,M,1971,54609
David,M,1971,53124
John,M,1971,51512
Robert,M,1971,50640
Christopher,M,1971,48234
William,M,1971,35415
Jason,M,1971,34186
Michelle,F,1971,33159
Michael,M,1972,71387
Jennifer,F,1972,63602
Christopher,M,1972,52182
James,M,1972,47079
David,M,1972,46338
John,M,1972,43169
Robert,M,1972,43026
Jason,M,1972,37437
Brian,M,1972,36317
William,M,1972,30514
Michael,M,1973,67828
Jennifer,F,1973,62446
Christopher,M,1973,48316
Jason,M,1973,46682
James,M,1973,42854
David,M,1973,41095
John,M,1973,39178
Robert,M,1973,38693
Brian,M,1973,35691
William,M,1973,28019
Michael,M,1974,67550
Jennifer,F,1974,63110
Jason,M,1974,54762
Christopher,M,1974,48593
David,M,1974,41804
James,M,1974,41345
John,M,1974,37628
Robert,M,1974,37017
Brian,M,1974,34452
Amy,F,1974,29564
Michael,M,1975,68432
Jennifer,F,1975,58188
Jason,M,1975,52173
Christopher,M,1975,46581
James,M,1975,39576
David,M,1975,39173
Robert,M,1975,35316
John,M,1975,35077
Amy,F,1975,32254
Brian,M,1975,30602
Michael,M,1976,66928
Jennifer,F,1976,59474
Jason,M,1976,52661
Christopher,M,1976,45203
David,M,1976,39281
James,M,1976,38304
John,M,1976,33991
Robert,M,1976,33793
Amy,F,1976,31338
Brian,M,1976,30530
Michael,M,1977,67600
Jennifer,F,1977,58964
Jason,M,1977,55638
Christopher,M,1977,46736
David,M,1977,40522
James,M,1977,40043
Robert,M,1977,34217
John,M,1977,34209
Brian,M,1977,32495
Matthew,M,1977,31970
Michael,M,1978,67142
Jennifer,F,1978,56323
Jason,M,1978,51617
Christopher,M,1978,47243
David,M,1978,40699
James,M,1978,39903
Matthew,M,1978,34298
John,M,1978,34025
Robert,M,1978,33384
Brian,M,1978,29441
Michael,M,1979,67724
Jennifer,F,1979,56718
Christopher,M,1979,50678
Jason,M,1979,50388
David,M,1979,42066
James,M,1979,39363
Matthew,M,1979,35638
John,M,1979,35416
Melissa,F,1979,34051
Robert,M,1979,34023
Michael,M,1980,68690
Jennifer,F,1980,58381
Christopher,M,1980,49089
Jason,M,1980,48170
David,M,1980,41900
James,M,1980,39323
Matthew,M,1980,37843
Joshua,M,1980,36060
Amanda,F,1980,35813
John,M,1980,35280
Michael,M,1981,68774
Jennifer,F,1981,57048
Christopher,M,1981,50224
Matthew,M,1981,43334
Jessica,F,1981,42537
Jason,M,1981,41927
David,M,1981,40658
Joshua,M,1981,39041
James,M,1981,38301
John,M,1981,34880
Michael,M,1982,68240
Christopher,M,1982,59235
Jennifer,F,1982,57119
Matthew,M,1982,46063
Jessica,F,1982,45453
Jason,M,1982,40639
David,M,1982,40458
James,M,1982,38878
Joshua,M,1982,38012
John,M,1982,34706
Michael,M,1983,68000
Christopher,M,1983,59340
Jennifer,F,1983,54350
Matthew,M,1983,50215
Jessica,F,1983,45281
David,M,1983,39205
Joshua,M,1983,36696
James,M,1983,36342
Jason,M,1983,35118
Daniel,M,1983,34753
Michael,M,1984,67749
Christopher,M,1984,60024
Jennifer,F,1984,50561
Matthew,M,1984,49782
Jessica,F,1984,45857
Joshua,M,1984,40270
Ashley,F,1984,38776
David,M,1984,38490
Daniel,M,1984,36537
James,M,1984,35867
Michael,M,1985,64924
Christopher,M,1985,59610
Jessica,F,1985,48346
Matthew,M,1985,47088
Ashley,F,1985,47008
Jennifer,F,1985,42657
Joshua,M,1985,42206
Amanda,F,1985,39056
Daniel,M,1985,38563
David,M,1985,38529
Michael,M,1986,64228
Christopher,M,1986,56698
Jessica,F,1986,52682
Ashley,F,1986,49672
Matthew,M,1986,46927
Amanda,F,1986,40532
Joshua,M,1986,37544
David,M,1986,37154
Daniel,M,1986,36577
Jennifer,F,1986,36185
Michael,M,1987,63653
Jessica,F,1987,55996
Ashley,F,1987,54853
Christopher,M,1987,54493
Matthew,M,1987,46507
Amanda,F,1987,41788
Joshua,M,1987,40004
David,M,1987,36798
Andrew,M,1987,36206
Daniel,M,1987,35870
Michael,M,1988,64161
Christopher,M,1988,53010
Jessica,F,1988,51552
Ashley,F,1988,49972
Matthew,M,1988,45881
Joshua,M,1988,42651
Amanda,F,1988,39458
Andrew,M,1988,35747
David,M,1988,35324
Justin,M,1988,35056
Michael,M,1989,65408
Christopher,M,1989,53186
Jessica,F,1989,47889
Ashley,F,1989,47586
Matthew,M,1989,45379
Joshua,M,1989,44097
Brittany,F,1989,37792
Amanda,F,1989,36834
David,M,1989,35223
Daniel,M,1989,35011
Michael,M,1990,65306
Christopher,M,1990,52353
Jessica,F,1990,46478
Ashley,F,1990,45561
Matthew,M,1990,44817
Joshua,M,1990,43226
Brittany,F,1990,36536
Amanda,F,1990,34413
Daniel,M,1990,33827
David,M,1990,33743
Michael,M,1991,60799
Christopher,M,1991,47108
Ashley,F,1991,43480
Jessica,F,1991,43397
Matthew,M,1991,41644
Joshua,M,1991,41225
Andrew,M,1991,31542
Daniel,M,1991,30927
James,M,1991,30514
David,M,1991,30417
Michael,M,1992,54399
Christopher,M,1992,42465
Ashley,F,1992,38458
Jessica,F,1992,38360
Matthew,M,1992,37734
Joshua,M,1992,36217
Andrew,M,1992,30538
Brandon,M,1992,29623
Daniel,M,1992,29156
Tyler,M,1992,28799
Michael,M,1993,49564
Christopher,M,1993,38236
Matthew,M,1993,35773
Jessica,F,1993,34990
Ashley,F,1993,34850
Joshua,M,1993,33586
Tyler,M,1993,29799
Brandon,M,1993,28737
Daniel,M,1993,28688
Nicholas,M,1993,28108
Michael,M,1994,44470
Christopher,M,1994,34804
Matthew,M,1994,33653
Jessica,F,1994,32122
Joshua,M,1994,31372
Tyler,M,1994,30482
Ashley,F,1994,30282
Brandon,M,1994,29488
Jacob,M,1994,29419
Daniel,M,1994,28060
Michael,M,1995,41406
Matthew,M,1995,32877
Christopher,M,1995,32673
Jacob,M,1995,31132
Joshua,M,1995,30719
Tyler,M,1995,29158
Nicholas,M,1995,29156
Jessica,F,1995,27939
Brandon,M,1995,26905
Daniel,M,1995,26726
Michael,M,1996,38366
Matthew,M,1996,32074
Jacob,M,1996,31926
Christopher,M,1996,30903
Joshua,M,1996,29174
Nicholas,M,1996,27720
Tyler,M,1996,26954
Brandon,M,1996,25846
Austin,M,1996,25661
Andrew,M,1996,25240
Michael,M,1997,37551
Jacob,M,1997,34158
Matthew,M,1997,31516
Christopher,M,1997,29105
Joshua,M,1997,28286
Nicholas,M,1997,27257
Emily,F,1997,25735
Andrew,M,1997,25207
Brandon,M,1997,25195
Austin,M,1997,25118
Michael,M,1998,36617
Jacob,M,1998,36026
Matthew,M,1998,31144
Joshua,M,1998,28092
Christopher,M,1998,27004
Nicholas,M,1998,26633
Emily,F,1998,26185
Brandon,M,1998,23830
Tyler,M,1998,23712
Andrew,M,1998,23662
Jacob,M,1999,35369
Michael,M,1999,33912
Matthew,M,1999,30417
Joshua,M,1999,27260
